Address	Rewards	Unrevocable	Revocable
0xFF6f7B2afdd33671503705098dd3c4c26a0F0705	"375,040"	"187,520"	"187,520"
0xF5E2359644f61cDeEcFbD068294EB0d2ff7Dc706	"500,053"	"500,053"	0
0xf493af7DFd0e47869Aac4770B2221a259CA77Ac8	"640,006"	"384,004"	"256,002"
0xf21e66578372Ea62BCb0D1cDfC070f231CF56898	"1,076,360"	"538,180"	"538,180"
0xEBE85822e75D2B4716e228818B54154E4AfFD202	"680,120"	"340,060"	"340,060"
0xeB4c50dF06cEb2Ea700ea127eA589A99a3aAe1Ec	"723,286"	"433,972"	"289,314"
0xe0807d8E14F2BCbF3Cc58637259CCF3fDd1D3ce5	"706,847"	"530,065"	"176,782"
0xDB5C4078eC50Ad4Cdc47F4597a377528B1d7bcdB	"482,910"	"482,910"	0
0xD984D096B4bF9DCF5fd75D9cBaf052D00EBe74c4	"616,619"	"308,310"	"308,310"
0xd3725C997B580E36707f73880aC006B6757b5009	"797,479"	"398,740"	"398,740"
0xBe4C1cb10C2Be76798c4186ADbbC34356b358b52	"120,010"	"120,010"	0
0xbd860737F32b7a43e197370606f7eb32c5caD347	"750,079"	"750,079"	0
0xBc5F996840118B580C4452440351b601862c5672	"62,507"	"31,254"	"31,254"
0xad05c57e06a80b8EC92383b3e10Fea0E2b4e571D	"750,079"	"667,795"	"82,284"
0xaBad5427278F99c9b9393Cc46FDb0Cb4CB6C33f5	"824,272"	"824,272"	0
0xa817c7a0690F17029b756b2EedAA089E0C94c900	"750,079"	"750,079"	0
0xa26cFCeCb07e401547be07eEe26E6FD608f77d1a	"871,921"	"435,961"	"435,961"
0x933650184994CFce9D64A9F3Ed14F1Fd017fF89A	"918,731"	"459,366"	"459,366"
0x87adb1BEa935649E607f615F41ae8f4cA96566fa	"750,083"	"750,083"	0
0x813C12326A0E8C2aC91d584f025E50072CDb4467	"906,155"	"453,078"	"453,078"
0x7F81D533B2ea31BE2591d89394ADD9A12499ff17	"925,471"	"775,175"	"150,296"
0x7F6Dd0c1BeB26CFf8ABA5B020E78D7C0Ed54B8Cc	"1,001,944"	"500,972"	"500,972"
0x7b3B1F252169Ff83E3E91106230c36bE672aFdE3	"750,079"	"375,040"	"375,040"
0x7809D08edBBBC401c430e5D3862a1Fdfcb8094A2	"708,820"	"425,292"	"283,528"
0x7414eA41bd1844f61e8990b209a1Dc301489baa9	"692,576"	"692,576"	0
0x7154a02BA6eEaB9300D056e25f3EEA3481680f87	"336,426"	"180,661"	"155,765"
0x6D0228303D0608CACc8a262deA95932DCAc12c8D	"797,479"	"797,479"	0
0x6b1029C9AE8Aa5EEA9e045E8ba3C93d380D5BDDa	"517,196"	"517,196"	0
0x650EACf9AD1576680f1af6eC6cC598A484d796Ad	"792,100"	"475,260"	"316,840"
0x5a092E52B9b3109372B9905Fa5c0655417F0f1a5	"38,873"	0	"38,873"
0x5a03a928b332EC269f68684A8e9c1881b4Da5f3d	"820,142"	"730,172"	"89,970"
0x55634e271BCa62dDFb9B5f7eae19f3Ae94Fb96b7	"1,098,761"	"549,381"	"549,381"
0x4c381276F4847255C675Eab90c3409FA2fce68bC	"301,667"	"150,834"	"150,834"
0x4bA63ac57b45087d03Abfd8E98987705Fa56B1ab	"1,002,115"	"501,058"	"501,058"
0x49c268e3F2119fCf71f70dF987432689dd4145Ad	"1,076,356"	"1,076,356"	0
0x474A2F53D11c73Ef2343322d69dCAE93cd63Dd9e	"77,746"	0	"77,746"
0x41cDd7034AD6b2a5d24397189802048E97b6532D	"291,281"	"145,641"	"145,641"
0x33CDbeB3e060bf6973e28492BE3D469C05D32786	"692,576"	"519,363"	"173,213"
0x2a791a837D70E6D6e35073Dd61a9Af878Ac231A5	"1,147,612"	"573,806"	"573,800"
0x24C08921717bf5C0029e2b8013B70f1D203cCDac	"162,000"	"162,000"	0
0x2234C96681E9533FDfD122baCBBc634EfbafA0F0	"1,079,154"	"539,577"	"539,572"
0x21870650F40Fe8249DECc96525249a43829E9A32	"440,856"	"330,598"	"110,258"
0x1F28F10176F89F4E9985873B84d14e75751BB3D1	"528,913"	"470,891"	"58,022"
0x11a8632b5089c6a061760F0b03285e2cC1388E36	"797,479"	"398,740"	"398,740"
0x10Bd72a6AfbF8860ec90f7aeCdB8e937a758f351	"1,122,110"	"561,055"	"561,054"
0x07A7191de1BA70dBe875F12e744B020416a5712b	"443,448"	"221,724"	"221,724"
0x067eceAd820BC54805A2412B06946b184d11CB4b	"971,982"	"485,991"	"485,991"
	"31,917,798"	"21,502,629"	"10,415,169"